Winner of the Week (5 Points),Top 3 of the Week (Pick #1) (2 points),Top 3 of the Week (Pick #2) (2 points),Top 3 of the Week (Pick #3) (2 points),Bottom 3 of the Week (Pick #1) (2 points),Bottom 3 of the Week (Pick #2) (2 points),Bottom 3 of the Week (Pick #3) (2 points),Eliminated Queen of the Week (5 points),America's Next Drag Superstar (winner of the season) (50 Points),Top 3 of the Season (Guess #1) (10 Points),Top 3 of the Season (Guess #2) (10 Points),Top 3 of the Season (Guess #3) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #1) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #2) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #3) (10 Points)
Anetra,Anetra,Marcia Marcia Marcia,Jax,Irene Dubois,Loosey LaDuca,Amethyst,Irene Dubois,,,,,,,
