Winner of the Week (5 Points),Top 3 of the Week (Pick #1) (2 points),Top 3 of the Week (Pick #2) (2 points),Top 3 of the Week (Pick #3) (2 points),Bottom 3 of the Week (Pick #1) (2 points),Bottom 3 of the Week (Pick #2) (2 points),Bottom 3 of the Week (Pick #3) (2 points),Eliminated Queen of the Week (5 points)
Anetra,Anetra,Marcia Marcia Marcia,Jax,Loosey LaDuca,Amethyst,Irene Dubois,Irene Dubois
